"Episource","176%","$25.9m","Health","California","Los Angeles",,800,
"SPAN Enterprises","176%","$2.9m","Software","South Carolina","Charlotte",,35,
"Succeed Management Solutions","176%","$4.6m","Software","Oregon","Portland OR",,39,
"Allium IT","176%","$3.9m","IT Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,40,
"Unlimited Air Mechanical","176%","$4.6m","Construction","Virginia","Richmond VA",,35,
"Agora NW","176%","$2m","Business Products & Services","Washington","Seattle",,15,
"Opus Regulatory","176%","$5.3m","Health","Massachusetts","Boston",,25,
"THMotorsports","175%","$13.9m","Consumer Products & Services","Illinois","Chicago",,22,
"Quest Group","175%","$27.1m","Human Resources","Georgia","Atlanta",,72,
"Dumbo Moving + Storage","175%","$11m","Logistics & Transportation","New York","New York City",,185,
"Right At School","175%","$6.7m","Education","Illinois","Chicago",,315,
"Rapid Web Services","175%","$7.1m","Security","Florida","Tampa",,50,
"Harwood Financial Group","175%","$4.5m","Financial Services","Florida","Tampa",,15,
"OGSystems","175%","$74.2m","Government Services","Virginia","Washington DC",,310,
"Indaba Group","175%","$2.8m","Software","Colorado","Denver",,26,
"Touchsuite","175%","$36.9m","Software","Florida","Miami",,57,
"Orlando Productions","175%","$5.5m","Media","Florida","Orlando FL",,15,
"DPM Fragrance","175%","$27.2m","Manufacturing","Mississippi","Columbus MS",,167,
"Star Staffing","175%","$25.2m","Human Resources","California","Santa Rosa CA",,35,
"Veristat","175%","$28.3m","Health","Massachusetts","Boston",,185,
"FTS","175%","$4m","Financial Services","New York","New York City",,30,
"Antenna","175%","$7.3m","Advertising & Marketing","Minnesota","Minneapolis",,30,
"Coast to Coast Pools","174%","$15.9m","Construction","Florida","North Port-Sarasota-Bradenton FL",,21,
"Alakai Defense Systems","174%","$9.9m","Government Services","Florida","Tampa",,35,
"World Wide Land Transfer","174%","$5.5m","Real Estate","Pennsylvania","Philadelphia",,31,
"Pharmedquest","174%","$62.1m","Health","California","Los Angeles",,125,
"Another Broken Egg Cafe","174%","$62.6m","Food & Beverage","Florida","Crestview-Fort Walton Beach-Destin FL",,22,
"ValidaTek","174%","$18.5m","IT Services","Virginia","Washington DC",,114,
"Perceptyx","174%","$10.7m","IT Services","California","Riverside-San Bernardino-Ontario CA",,28,
"2 Brothers Moving & Delivery","174%","$2m","Logistics & Transportation","Oregon","Portland OR",,21,
"VIVA Pediatrics","174%","$17.9m","Health","Texas","Dallas",,620,
"Celdara Medical","173%","$3.4m","Health","New Hampshire","Claremont-Lebanon NH-VT",,18,
"Back to the Roots","173%","$5.7m","Consumer Products & Services","California","San Francisco",,14,
"Assurex Health","173%","$54.4m","Health","Ohio","Cincinnati",,391,
"Sachs Marketing Group","173%","$2.2m","Advertising & Marketing","California","Los Angeles",,13,
"Alert Logic","172%","$81m","Software","Texas","Houston",,613,
"Coretelligent","172%","$13.1m","IT Services","Massachusetts","Boston",,60,
"Systema Software","172%","$8.2m","Insurance","California","San Francisco",,33,
"Douglas Realty","172%","$3.3m","Real Estate","Maryland","Baltimore",,150,
"Bear Metal Works","172%","$4.7m","Manufacturing","New York","Buffalo-Cheektowaga-Niagara Falls NY",,24,
"Rimini Street","172%","$118.8m","IT Services","Nevada","Las Vegas-Henderson-Paradise NV",,649,
"Provident Trust Group","172%","$10.7m","Financial Services","Nevada","Las Vegas-Henderson-Paradise NV",,51,
"Pinpoint Warehousing","172%","$4.6m","Logistics & Transportation","North Carolina","Charlotte",,45,
"MESH | Integrated Marketing & Advertising","172%","$3m","Advertising & Marketing","Louisiana","Baton Rouge LA",,18,
"EDDM Experts","171%","$3m","Advertising & Marketing","Florida","Tampa",,15,
"DealerOn","171%","$16.5m","Advertising & Marketing","Maryland","Washington DC",,140,
"Marine Connection","171%","$30.3m","Retail","Florida","Miami",,40,
"PM Pediatrics","171%","$38.2m","Health","New York","New York City",,429,
"efelle creative","171%","$2.8m","IT Services","Washington","Seattle",,41,
"Evans & Chambers Technology","171%","$4m","Government Services","District of Columbia","Washington DC",,41,
"InkHouse","171%","$12.7m","Media","Massachusetts","Boston",,80,
"Mail Shark","171%","$14.5m","Advertising & Marketing","Pennsylvania","Lancaster PA",,43,
"United States Appraisals","171%","$28.2m","Real Estate","Kansas","Kansas City MO-KS",,45,
"PRO-VISION","170%","$12.6m","Manufacturing","Michigan","Grand Rapids-Wyoming MI",,73,
"AllianceIT","170%","$7.6m","IT Services","California","San Francisco",,55,
"Greenway Insurance & Risk Management Agency","170%","$2.2m","Insurance","Texas","Houston",,18,
"Freddy's Frozen Custard & Steakburgers","170%","$267m","Food & Beverage","Kansas","Wichita KS",,9100,
"Ruby Receptionists","170%","$21.2m","Telecommunications","Oregon","Portland OR",,283,
"Orsini Healthcare","170%","$232.7m","Health","Illinois","Chicago",,163,
"G2 Consultants","170%","$2.9m","Environmental Services","Oregon","Portland OR",,8,
"Webyshops","170%","$17.3m","Retail","Texas","Dallas",,24,
"True Media","170%","$96.5m","Advertising & Marketing","Missouri","Columbia MO",,97,
"T2 Systems","169%","$67.1m","Software","Indiana","Indianapolis IN",,234,
"Cafe Grumpy","169%","$5.7m","Food & Beverage","New York","New York City",,55,
"Griffco Design Build","169%","$45.9m","Construction","Georgia","Atlanta",,26,
"Tower Cloud","169%","$41.4m","Telecommunications","Florida","Tampa",,61,
"SquadBuilders","169%","$3.1m","Human Resources","Kansas","Kansas City MO-KS",,13,
"New York Engineers","169%","$3m","Engineering","New York","New York City",,25,
"Washington Street Properties","169%","$4.4m","Real Estate","New York",,,12,
"blueberry builders","169%","$4.8m","Construction","New York","New York City",,8,
"SysArc","169%","$3m","IT Services","Maryland","Washington DC",,15,
"ProActive Services","169%","$7.9m","Energy","West Virginia","Clarksburg WV",,74,
"Square 2 Marketing","169%","$5.2m","Advertising & Marketing","Pennsylvania","Philadelphia",,48,
"Digiday","169%","$12.1m","Media","New York","New York City",,50,
"SUN CITY GROUP","169%","$14.3m","Logistics & Transportation","Texas","El Paso TX",,22,
"Highwire Public Relations","169%","$10.9m","Advertising & Marketing","California","San Francisco",,55,
"Fulton Grace Realty","168%","$3.2m","Real Estate","Illinois","Chicago",,50,
"Bay Equity Home Loans","168%","$97.5m","Financial Services","California","San Francisco",,1262,
"Domega","168%","$4.8m","Business Products & Services","Utah","Provo-Orem UT",,62,
"Reeher","168%","$5.9m","Education","Minnesota","Minneapolis",,43,
"Factory 360","168%","$7.4m","Advertising & Marketing","New York","New York City",,15,
"Union Wine Company","168%","$10.5m","Food & Beverage","Oregon","Portland OR",,12,
"Hydra-Flex","168%","$9.4m","Manufacturing","Minnesota","Minneapolis",,33,
"Logojet USA","168%","$3.9m","Manufacturing","Louisiana","Lafayette LA",,15,
"Pyxl","167%","$7.3m","Advertising & Marketing","Tennessee","Knoxville TN",,55,
"ASEC2","167%","$10.8m","Government Services","Virginia","Washington DC",,56,
"lawn butler","167%","$6.8m","Construction","Utah","Ogden-Clearfield UT",,160,
"Sevatec","167%","$82.3m","Government Services","Virginia","Washington DC",,290,
"Graphics and More","167%","$3.5m","Retail","California","Sacramento CA",,19,
"Horizon Partners","167%","$5.3m","Financial Services","California","San Francisco",,5,
"Taoti Creative","167%","$3.1m","IT Services","District of Columbia","Washington DC",,14,
"Broadvoice","167%","$41.7m","Telecommunications","California","Los Angeles",,149,
"GoKart Labs","167%","$8.7m","Advertising & Marketing","Minnesota","Minneapolis",,48,
"Copper River IT","167%","$146.1m","IT Services","Virginia","Washington DC",,108,
"Epicosity","167%","$4.1m","Advertising & Marketing","South Dakota","Sioux Falls SD",,19,
"Lorven Technologies","167%","$9m","IT Services","New Jersey","New York City",,26,
"Houston Interests","166%","$126.5m","Engineering","Oklahoma","Tulsa OK",,350,
"Isagenix","166%","$889.7m","Health","Arizona","Phoenix",,525,
"Delphic Digital","166%","$6.3m","Advertising & Marketing","Pennsylvania","Philadelphia",,54,
"Apex Payroll","166%","$6.3m","Software","Georgia","Atlanta",,19,
"Balsam Hill","166%","$92.2m","Retail","California","San Francisco",,111,
"Upward Brand Interactions","166%","$6.9m","Advertising & Marketing","Ohio","Springfield OH",,45,
"Human Solutions","166%","$43.8m","Business Products & Services","District of Columbia","Washington DC",,141,
"Fun and Function","166%","$5.4m","Retail","Pennsylvania","Philadelphia",,6,
"Sensis","166%","$13.9m","Advertising & Marketing","California","Los Angeles",,80,
"Double O Supply & Craftsmen","166%","$5.3m","Construction","Michigan","Grand Rapids-Wyoming MI",,24,
"SoluComp","165%","$3m","Telecommunications","Illinois","Chicago",,25,
"The Reagor Dykes Auto Group","165%","$483.3m","Retail","Texas","Lubbock TX",,478,
"Personify","165%","$8.4m","Human Resources","North Carolina","Raleigh NC",,57,
"ShineRetrofits.com","165%","$4.9m","Business Products & Services","Colorado","Denver",,12,
"AffiniPay","165%","$18.1m","Financial Services","Texas","Austin",,51,
"Blue Star Tec","165%","$7.5m","IT Services","Illinois","Chicago",,37,
"Excel Services","165%","$13.1m","Construction","Kentucky","Louisville/Jefferson County KY-IN",,80,
"InRhythm","165%","$8.5m","IT Services","New York","New York City",,35,
"Mid-Atlantic ProTel","165%","$29.3m","Retail","West Virginia","Hagerstown-Martinsburg MD-WV",,187,
"Plug Smart","165%","$16.8m","Energy","Ohio","Columbus OH",,31,
"Kalles Group","164%","$3.3m","IT Services","Washington","Seattle",,26,
"Revant","164%","$7.7m","Consumer Products & Services","Oregon","Portland OR",,19,
"Bizfi","164%","$79.8m","Financial Services","New York","New York City",,198,
"NorthStar Anesthesia","164%","$343.2m","Health","Texas","Dallas",,1827,
"Universal Plant Services","164%","$328.6m","Energy","Texas","Houston",,1579,
"Chameleon Integrated Services","164%","$21.8m","IT Services","Missouri","St. Louis MO-IL",,350,
"Mobius Consulting","163%","$4.6m","Government Services","Virginia","Washington DC",,36,
"All Industrial Tool Supply","163%","$3.9m","Manufacturing","California","Los Angeles",,7,
"Water Systems Consulting","163%","$4.8m","Engineering","California","San Luis Obispo-Paso Robles-Arroyo Grande CA",,25,
"Data-Dynamix","163%","$9.8m","Advertising & Marketing","Colorado","Denver",,18,
"EVOLUTYZ","163%","$6m","IT Services","Illinois","Chicago",,24,
"Eating Recovery Center","163%","$115.4m","Health","Colorado","Denver",,979,
"Online Rewards","163%","$35.7m","Business Products & Services","Texas","Dallas",,50,
"Wonderbox Technologies","162%","$19m","Software","Wisconsin","Milwaukee-Waukesha-West Allis WI",,153,
"Tanga.com","162%","$26.7m","Consumer Products & Services","Arizona","Phoenix",,44,
"OpenX","162%","$141.2m","Advertising & Marketing","California","Los Angeles",,460,
"A.R.C. Transit","162%","$41.3m","Logistics & Transportation","North Carolina","Wilmington NC",,43,
"Phipps Reporting","162%","$6.2m","Business Products & Services","Florida","Miami",,18,
"Smashburger","162%","$194.6m","Food & Beverage","Colorado","Denver",,7000,
"Enow","162%","$5m","Software","California","Los Angeles",,30,
"Property Debt Research","162%","$11.5m","Business Products & Services","Florida","Cape Coral-Fort Myers FL",,60,
"Nest Realty Group","162%","$10.7m","Real Estate","Virginia","Charlottesville VA",,15,
"Kw Marketing","162%","$2.3m","Financial Services","New York","New York City",,5,
"Tactical Edge","162%","$5.9m","IT Services","California","San Diego",,34,
"Strive Physical Therapy","162%","$10.4m","Health","New Jersey","Philadelphia",,131,
"Core Business Services","162%","$4.2m","IT Services","Oregon","Medford OR",,22,
"mp3car","162%","$4.8m","Computer Hardware","Maryland","Baltimore",,8,
"Praetorian","161%","$4.4m","Security","Texas","Austin",,21,
"Widespread Electrical Sales","161%","$10.4m","Business Products & Services","Colorado","Denver",,21,
"Ingenium","161%","$14.8m","Manufacturing","California","San Diego",,52,
"ITRenew","161%","$72.2m","IT Services","California","San Francisco",,198,
"United Software Group","161%","$42.3m","IT Services","Ohio","Columbus OH",,179,
"EO Products","161%","$28m","Consumer Products & Services","California","San Francisco",,92,
"Conservice","161%","$107.5m","Energy","Utah","Logan UT-ID",,1196,
"SailTime","161%","$2m","Consumer Products & Services","Maryland","Baltimore",,5,
"Thycotic","161%","$12.6m","Software","District of Columbia","Washington DC",,74,
"JumpForward","161%","$4.8m","Software","Illinois","Chicago",,35,
"Kobie Marketing","161%","$45m","Advertising & Marketing","Florida","Tampa",,170,
"Greyson Technologies","161%","$21.1m","IT Services","Florida","Miami",,20,
"Faye Business Systems Group","160%","$4.8m","Software","California","Los Angeles",,22,
"Winvale Group","160%","$26.2m","Business Products & Services","District of Columbia","Washington DC",,25,
"LeafFilter North","160%","$87.9m","Construction","Ohio","Akron OH",,251,
"Chetu","160%","$31.5m","Software","Florida","Miami",,1165,
"MediRevv","160%","$20.3m","Health","Iowa","Iowa City IA",,260,
"The Spur Group","160%","$13.6m","Business Products & Services","Washington","Seattle",,81,
"College Hill Custom Threads","160%","$2.7m","Retail","Washington","Pullman WA",,13,
"Cervello","160%","$19.9m","IT Services","Massachusetts","Boston",,100,
"The Bowen Consulting Group","160%","$13.6m","Government Services","Virginia","Washington DC",,110,
"RAM Hotels","160%","$13.4m","Travel & Hospitality","Georgia","Columbus GA-AL",,210,
"PrepNow","159%","$2.8m","Education","Massachusetts","Boston",,17,
"Intelligent Technical Solutions","159%","$4.4m","IT Services","Nevada","Las Vegas-Henderson-Paradise NV",,27,
"Timo's Air Conditioning & Heating","159%","$3.3m","Construction","California","Riverside-San Bernardino-Ontario CA",,15,
"Lyons Consulting Group","159%","$39.9m","Business Products & Services","Illinois","Chicago",,226,
"Denken Solutions","159%","$5.7m","IT Services","California","Los Angeles",,90,
"Consultants 2 Go","159%","$11.4m","Business Products & Services","New Jersey","New York City",,106,
"SixSpeed","159%","$12.4m","Advertising & Marketing","Minnesota","Minneapolis",,54,
"C2 Education","159%","$58.3m","Education","Georgia","Atlanta",,3281,
"Broadway Technology","159%","$26.2m","Software","New York","New York City",,99,
"New American Funding","159%","$378.6m","Financial Services","California","Los Angeles",,1952,
"SADA Systems","159%","$47.3m","IT Services","California","Los Angeles",,125,
"Full Visibility","159%","$5.2m","Government Services","Virginia","Washington DC",,36,
"Idea Grove","159%","$2.5m","Advertising & Marketing","Texas","Dallas",,23,
"Russell Cellular","159%","$225m","Retail","Missouri","Springfield MO",,1055,
"EPIC Insurance Brokers and Consultants","158%","$173.5m","Insurance","California","San Francisco",,691,
"Secure Banking Solutions","158%","$5.8m","Financial Services","South Dakota",,,75,
"First Flight Solutions","158%","$7.1m","Logistics & Transportation","North Carolina","Morehead City NC",,1,
"Itransition","158%","$18m","Software","Texas","Austin",,1498,
"digital trends","158%","$20.5m","Media","Oregon","Portland OR",,75,
"Automatit","158%","$3.1m","Advertising & Marketing","Arizona","Tucson AZ",,25,
"SUNation Solar Systems","158%","$22.1m","Energy","New York","New York City",,73,
"24Hr HomeCare","158%","$48.1m","Health","California","Los Angeles",,103,
"Athene Holding","158%","$2.6b","Insurance","Iowa","Des Moines-West Des Moines IA",,1230,
"Plasticard Locktech International","158%","$93m","Manufacturing","North Carolina","Asheville NC",,620,
"Hydrotech Pools","158%","$5m","Construction","Florida","Naples-Immokalee-Marco Island FL",,48,
"OBXtek","158%","$76.3m","Government Services","Virginia","Washington DC",,463,
"Kinnser Software","158%","$45.7m","Health","Texas","Austin",,205,
"Team Services","158%","$10m","Business Products & Services","New Jersey","New York City",,200,
"Oslo Solutions","158%","$13.1m","IT Services","Washington","Seattle",,105,
"The Harvey Tool Company","158%","$62.2m","Manufacturing","Massachusetts","Boston",,149,
"ANCGroup","158%","$6m","IT Services","South Carolina","Greenville-Anderson-Mauldin SC",,18,
"Standav","158%","$17.9m","Software","Texas","Dallas",,200,
"Nightlight Pediatric Urgent Care","157%","$5.9m","Health","Texas","Houston",,76,
"GetUsROI","157%","$3.9m","Software","Texas","Houston",,42,
"Candoris Technologies","157%","$15.9m","IT Services","Pennsylvania","Lebanon PA",,37,
"Reddy Care Physical Therapy","157%","$5.4m","Health","New York","New York City",,60,
"New Horizon Security Services","157%","$21.7m","Security","Virginia","Washington DC",,628,
"MobileFuse","157%","$18.3m","Media","New York","New York City",,67,
"Ervolina Associates","157%","$2.1m","Consumer Products & Services","Florida","undefined",,9,
"Your Castle Real Estate","157%","$31.1m","Real Estate","Colorado","Denver",,515,
"NPE","157%","$10.7m","Health","Florida","Orlando FL",,60,
"Krilogy Financial","157%","$4.3m","Financial Services","Missouri","St. Louis MO-IL",,28,
"Annex Wealth Management","157%","$11.2m","Financial Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,44,
"Rush Order Tees","157%","$22.8m","Consumer Products & Services","Pennsylvania","Philadelphia",,120,
"Symons Ambulance","156%","$9.8m","Health","California","Riverside-San Bernardino-Ontario CA",,250,
"KB BUILDING SERVICES","156%","$10.7m","Business Products & Services","Nebraska","Omaha-Council Bluffs NE-IA",,225,
"Romanoff Renovations","156%","$99.7m","Construction","Georgia","Atlanta",,533,
"Winslow Technology Group","156%","$18.2m","IT Services","Massachusetts","Boston",,22,
"Element 84","156%","$3.8m","IT Services","Virginia","Washington DC",,23,
"Strategic Systems & Technology","156%","$33.1m","Business Products & Services","Georgia","Atlanta",,38,
"Ob Hospitalist Group","156%","$130.7m","Health","South Carolina","Greenville-Anderson-Mauldin SC",,600,
"Futuri Media","156%","$6.6m","Software","Ohio","Cleveland",,38,
"Atlas Professional Services","156%","$4.2m","IT Services","Florida","Tampa",,17,
"Verndale","156%","$22.8m","Advertising & Marketing","Massachusetts","Boston",,170,
"Climate Pros","156%","$35m","Construction","Illinois","Chicago",,175,
"GRC Commerce","156%","$3m","Retail","California","Los Angeles",,7,
"H&F Bread Company","156%","$6.3m","Food & Beverage","Georgia","Atlanta",,128,
"Metro Systems","156%","$21.6m","Human Resources","Virginia","Washington DC",,208,
"Ed Support Services","156%","$7.5m","Health","California","San Francisco",,200,
"Integrity Services","156%","$11.1m","Business Products & Services","Massachusetts","Boston",,200,
"nexVortex","155%","$13m","Telecommunications","Virginia","Washington DC",,52,
"bpa international","155%","$14m","Telecommunications","New York","New York City",,305,
"iTedium","155%","$5.9m","Business Products & Services","Kansas","Kansas City MO-KS",,47,
"Resource Environmental Solutions","155%","$63.6m","Environmental Services","Texas","Houston",,91,
"Rand Marketing","155%","$2.3m","Advertising & Marketing","Florida","Miami",,24,
"SEI-Atlanta","155%","$13.6m","IT Services","Georgia","Atlanta",,58,
"Vitals","155%","$24.9m","Health","New Jersey","New York City",,161,
"ProcessMaker","155%","$5.4m","Software","Florida","Miami",,112,
"Connective Talent","155%","$6.6m","IT Services","Texas","Houston",,41,
"Hanszen Laporte","155%","$4.3m","Business Products & Services","Texas","Houston",,23,
"Old Pro Roofing","155%","$8m","Construction","Texas","Dallas",,31,
"US Micro Products","155%","$37.6m","Manufacturing","Texas","Austin",,30,
"Medical Shipment","155%","$4.4m","Health","Illinois",,,15,
"Little Sunshine's Playhouse","155%","$12.5m","Education","Missouri","Springfield MO",,480,
"ChiroHealthUSA","155%","$4.3m","Health","Mississippi","Jackson MS",,13,
"Pedego Electric Bikes","155%","$9.6m","Consumer Products & Services","California","Los Angeles",,28,
"Texas Fence","155%","$6.9m","Construction","Texas","Houston",,18,
"Davenport Group","154%","$22.2m","IT Services","Minnesota","Minneapolis",,39,
"Project Management Academy","154%","$13.8m","Education","Indiana",,,26,
"Techlink Services","154%","$5.4m","IT Services","Oregon","Bend-Redmond OR",,36,
"ONEHOPE","154%","$6.7m","Consumer Products & Services","California","Napa CA",,35,
"Conversant Group","154%","$4.7m","IT Services","Tennessee","Chattanooga TN-GA",,12,
"Trilliant Surgical","154%","$11.8m","Health","Texas","Houston",,33,
"Occidental Management","154%","$16.4m","Real Estate","Kansas","Wichita KS",,18,
"d-Wise","154%","$11.9m","IT Services","North Carolina","Durham-Chapel Hill NC",,57,
"Payroll4Construction.com","154%","$4.8m","Construction","Ohio","Cleveland",,29,
"The Kaizen Company","154%","$5.6m","Business Products & Services","District of Columbia","Washington DC",,44,
"Echo Health","154%","$63.4m","Health","Ohio","Cleveland",,43,
"T. White Parker","154%","$7m","Business Products & Services","Virginia","Washington DC",,35,
"Towersource","154%","$9.2m","Telecommunications","Georgia","Atlanta",,40,
"Garland Technology","153%","$3.2m","Computer Hardware","New York","Buffalo-Cheektowaga-Niagara Falls NY",,17,
"Murgado Automotive Group","153%","$360.6m","Retail","Florida","Miami",,342,
"Logistics Planning Services","153%","$79.3m","Logistics & Transportation","Minnesota","Minneapolis",,97,
"Bellows Plumbing Heating & Air","153%","$6m","Construction","California","Santa Cruz-Watsonville CA",,60,
"DecisionWise","153%","$5m","Human Resources","Utah","Provo-Orem UT",,29,
"Weifield Group Contracting","153%","$46.2m","Construction","Colorado","Denver",,227,
"The Center for Generational Kinetics","153%","$3.9m","Business Products & Services","Texas","Austin",,13,
"enVention","153%","$2.8m","Government Services","Alabama","Huntsville AL",,20,
"22nd Century Technologies","153%","$59.3m","Government Services","New Jersey","New York City",,501,
"Mid Atlantic Maritime Academy","153%","$5.4m","Education","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,34,
"Britstan Technology","153%","$7.3m","IT Services","California","Los Angeles",,55,
"Good Done Great","153%","$3m","Software","South Carolina","Charleston-North Charleston SC",,61,
"Premier Staffing","153%","$38.5m","Human Resources","California","San Francisco",,66,
"PrincePerelson & Associates","152%","$21m","Business Products & Services","Utah","Salt Lake City",,33,
"DecisionFocus","152%","$9.4m","IT Services","Illinois","Chicago",,15,
"Absolute Perfection","152%","$2.4m","Business Products & Services","Maryland","Baltimore",,28,
"Johnson Brunetti","152%","$10.5m","Financial Services","Connecticut","Hartford-West Hartford-East Hartford CT",,21,
"Fraud Posse","152%","$3.1m","Software","Arizona","Phoenix",,5,
"EnvironmentalLights.com","152%","$17.3m","Business Products & Services","California","San Diego",,32,
"EST Group","152%","$19.7m","IT Services","Texas","Dallas",,46,
"Manufacturing Technical Solutions","152%","$40.8m","Government Services","Alabama","Huntsville AL",,179,
"Criteria (Los Angeles CA)","152%","$3.7m","Software","California","Los Angeles",,25,
"Rollins-PCI Construction","152%","$3.5m","Construction","Maryland","Washington DC",,25,
"Square 9 Softworks","152%","$8.7m","Software","Connecticut","New Haven-Milford CT",,60,
"DriveShop","152%","$33.6m","Advertising & Marketing","Washington","Seattle",,147,
"Tallience","152%","$4.5m","IT Services","Florida","Miami",,31,
"Woodruff Sweitzer","152%","$13.9m","Advertising & Marketing","Missouri","Jefferson City MO",,78,
"Candid Partners","151%","$11.8m","IT Services","Georgia","Atlanta",,52,
"United Data Technologies","151%","$214.8m","IT Services","Florida","Miami",,270,
"Group Benefit Services","151%","$1.9m","Insurance","Missouri","Springfield MO",,55,
"Superior Fireworks","151%","$2m","Retail","Florida","Jacksonville FL",,5,
"QuoteWizard","151%","$73.8m","Insurance","Washington","Seattle",,157,
"MS Companies","151%","$87.7m","Business Products & Services","Indiana","Indianapolis IN",,5500,
"ASP Industries","151%","$5m","Manufacturing","New York","Rochester NY",,36,
"Walker Sands Communications","151%","$7.3m","Advertising & Marketing","Illinois","Chicago",,62,
"Southend Exteriors","151%","$32.5m","Construction","North Carolina","Charlotte",,44,
"MY Shower Door / D3 Glass","151%","$9.6m","Construction","Florida","Cape Coral-Fort Myers FL",,62,
"rateGenius","151%","$42m","Financial Services","Texas","Austin",,220,
"TRIOSE","151%","$37.6m","Health","Pennsylvania","Reading PA",,59,
"Specialist ID","150%","$2.8m","Business Products & Services","Florida","Miami",,14,
"Records Solutions","150%","$10.5m","Business Products & Services","Texas","Dallas",,122,
"Axiologic Solutions","150%","$5.7m","Government Services","Virginia","Washington DC",,30,
"Proforma Signature Solutions","150%","$5m","Advertising & Marketing","Ohio","Cleveland",,15,
"Dream Finders Homes","150%","$139.6m","Real Estate","Florida","Jacksonville FL",,110,
"Buckfire & Buckfire","150%","$5m","Consumer Products & Services","Michigan","Detroit",,25,
"Whitacre logisitcs","150%","$49.8m","Logistics & Transportation","Ohio","Toledo OH",,385,
"70E Solutions","150%","$3m","Construction","Pennsylvania","Pittsburgh PA",,11,
"Nutrition Pit Supplement Store","149%","$2.5m","Health","West Virginia","Parkersburg-Vienna WV",,23,
"RIA Solutions Group","149%","$3.5m","Software","North Carolina","Winston-Salem NC",,75,
"Rural Sourcing","149%","$22.3m","IT Services","Georgia","Atlanta",,268,
"Renegade Furniture Group","149%","$24.4m","Retail","New York","New York City",,55,
"Certent","149%","$25.5m","Financial Services","California","San Francisco",,175,
"BEST DEFENSE SECURITY & FIRE PROTECTION","149%","$4.5m","Security","Wisconsin","Madison WI",,48,
"Transportation Insight","149%","$1.1b","Logistics & Transportation","North Carolina","Hickory-Lenoir-Morganton NC",,378,
"LeadMD","149%","$5.6m","Advertising & Marketing","Arizona","Phoenix",,31,
"RMGS","149%","$9.6m","Government Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,55,
"ResMac","149%","$24.7m","Financial Services","Florida","Miami",,250,
"Windhaven Insurance","149%","$268.1m","Insurance","Florida","Miami",,320,
"BioBridges","149%","$31.2m","Business Products & Services","Massachusetts","Boston",,180,
"Mainstreet","149%","$178.9m","Real Estate","Indiana","Indianapolis IN",,118,
"Dynamit","149%","$8.7m","IT Services","Ohio","Columbus OH",,73,
"Kriser's Natural Pet","148%","$24.4m","Retail","California","Los Angeles",,216,
"PRETEK","148%","$4.7m","IT Services","Virginia","Washington DC",,21,
"LocalSearchForDentists.com","148%","$3.8m","Advertising & Marketing","Texas","Austin",,25,
"AccuDock","148%","$4m","Manufacturing","Florida","Miami",,26,
"EnSite Solutions","148%","$24.3m","Business Products & Services","Texas","Dallas",,20,
"The/Studio","148%","$5.3m","Business Products & Services","Nevada","Carson City NV",,80,
"Kavaliro","148%","$41.7m","Human Resources","Florida","Orlando FL",,337,
"Emaint Enterprises","148%","$14.1m","Software","New Jersey","Philadelphia",,87,
"Onicx","148%","$27.4m","Construction","Florida","Tampa",,34,
"Scicom Infrastructure Services","148%","$6.2m","IT Services","Georgia","Atlanta",,30,
"New Tech Solutions","147%","$131.8m","Government Services","California","San Francisco",,34,
"DGDean","147%","$4.2m","IT Services","Connecticut","Bridgeport-Stamford-Norwalk CT",,25,
"Blue Magnet Interactive Marketing & Media","147%","$2m","Advertising & Marketing","Illinois","Chicago",,30,
"TaleMed","147%","$15.8m","Health","Ohio","Cincinnati",,167,
"TBG Security","147%","$2.1m","Security","Massachusetts","Boston",,25,
"Quality Floorshine","147%","$10.7m","Environmental Services","New York","New York City",,600,
"The SpyGlass Group","147%","$14.1m","Telecommunications","Ohio","Cleveland",,122,
"Tandem Innovative Payment Solutions","147%","$2m","Financial Services","South Carolina","Greenville-Anderson-Mauldin SC",,15,
"Pinnacle Environmental Services","147%","$4.6m","Environmental Services","South Carolina","Greenville-Anderson-Mauldin SC",,9,
"Datatility","147%","$4.1m","IT Services","Virginia","Washington DC",,11,
"SafeSplash Swim Schools","147%","$8.2m","Education","Colorado","Denver",,310,
"tasc Performance","146%","$9.1m","Consumer Products & Services","Louisiana","New Orleans-Metairie LA",,20,
"Chrome River Technologies","146%","$21.8m","Software","California","Los Angeles",,175,
"Mosquito Squad","146%","$30.2m","Consumer Products & Services","Virginia","Richmond VA",,41,
"Endurance IT Services","146%","$7.7m","IT Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,43,
"Launch Logistics","146%","$43.6m","Business Products & Services","Utah","Salt Lake City",,52,
"BuyBackWorld","146%","$5.3m","Consumer Products & Services","New York","New York City",,20,
"Digital Insurance","146%","$116.4m","Insurance","Georgia","Atlanta",,660,
"Clarity Voice","146%","$4.1m","Telecommunications","Michigan","Detroit",,34,
"Peloton Advantage","146%","$19.4m","Health","New Jersey","New York City",,79,
"The Gober Group","146%","$3.1m","Business Products & Services","Texas","Austin",,11,
"Bixby Zane","146%","$6.5m","Human Resources","California","San Diego",,7,
